id_obligor,rating,pd,default
OB15694,C2,0.25,0
OB14022,B3,0.1,0
OB15550,C2,0.25,1
OB09178,B1,0.035,0
OB00600,A1,0.005,0
OB13521,B3,0.1,0
OB03284,A2,0.01,0
OB01125,A1,0.005,0
OB06867,A3,0.02,0
OB05357,A3,0.02,0
OB00737,A1,0.005,0
OB05505,A3,0.02,0
OB11915,B2,0.06,0
OB05043,A3,0.02,0
OB12816,B2,0.06,0
OB01656,A1,0.005,0
OB11156,B2,0.06,0
OB10735,B2,0.06,0
OB13334,B3,0.1,0
OB01870,A2,0.01,0
OB03316,A2,0.01,0
OB07127,A3,0.02,0
OB15400,C1,0.16,1
OB06939,A3,0.02,0
OB13622,B3,0.1,0
OB05920,A3,0.02,0
OB06808,A3,0.02,1
OB13252,B3,0.1,0
OB12541,B2,0.06,1
OB03250,A2,0.01,0
OB05634,A3,0.02,1
OB08302,B1,0.035,0
OB11365,B2,0.06,0
OB06749,A3,0.02,0
OB08976,B1,0.035,0
OB09701,B1,0.035,0
OB12479,B2,0.06,0
OB14272,B3,0.1,0
OB15078,C1,0.16,1
OB11080,B2,0.06,1
OB15268,C1,0.16,0
OB11634,B2,0.06,0
OB04782,A3,0.02,0
OB03797,A2,0.01,0
OB11688,B2,0.06,0
OB02482,A2,0.01,0
OB01895,A2,0.01,0
OB16051,C3,0.38,0
OB15314,C1,0.16,0
OB03706,A2,0.01,0
OB02974,A2,0.01,0
OB06155,A3,0.02,0
OB03498,A2,0.01,0
OB10565,B2,0.06,0
OB03177,A2,0.01,0
OB06345,A3,0.02,0
OB16140,C3,0.38,0
OB01381,A1,0.005,0
OB01006,A1,0.005,0
OB14125,B3,0.1,0
OB11794,B2,0.06,0
OB03007,A2,0.01,0
OB01514,A1,0.005,0
OB12802,B2,0.06,0
OB11100,B2,0.06,0
OB10326,B1,0.035,0
OB11590,B2,0.06,0
OB01964,A2,0.01,0
OB00768,A1,0.005,0
OB00206,A1,0.005,0
OB00107,A1,0.005,0
OB03133,A2,0.01,0
OB15940,C3,0.38,0
OB12716,B2,0.06,0
OB07626,B1,0.035,0
OB12340,B2,0.06,0
OB15152,C1,0.16,1
OB14084,B3,0.1,0
OB12301,B2,0.06,0
OB03914,A2,0.01,0
OB09922,B1,0.035,0
OB13328,B3,0.1,0
OB12399,B2,0.06,0
OB01934,A2,0.01,0
OB03018,A2,0.01,0
OB05744,A3,0.02,0
OB10279,B1,0.035,0
OB10921,B2,0.06,0
OB15579,C2,0.25,1
OB09429,B1,0.035,0
OB01832,A2,0.01,0
OB00005,A1,0.005,0
OB06610,A3,0.02,0
OB14149,B3,0.1,0
OB12845,B2,0.06,1
OB16079,C3,0.38,0
OB02203,A2,0.01,0
OB15175,C1,0.16,0
OB11198,B2,0.06,0
OB00534,A1,0.005,0
OB13169,B3,0.1,0
OB09265,B1,0.035,0
OB12631,B2,0.06,0
OB05730,A3,0.02,0
OB09580,B1,0.035,0
OB09602,B1,0.035,0
OB02267,A2,0.01,0
OB06440,A3,0.02,0
OB16098,C3,0.38,0
OB07192,A3,0.02,0
OB04078,A2,0.01,0
OB05947,A3,0.02,0
OB01024,A1,0.005,0
OB00507,A1,0.005,0
OB12434,B2,0.06,0
OB08541,B1,0.035,0
OB15196,C1,0.16,1
OB01430,A1,0.005,0
OB01741,A1,0.005,0
OB11832,B2,0.06,0
OB11513,B2,0.06,0
OB06942,A3,0.02,0
OB14032,B3,0.1,1
OB03265,A2,0.01,0
OB00995,A1,0.005,0
OB14933,C1,0.16,1
OB09376,B1,0.035,0
OB04004,A2,0.01,0
OB06777,A3,0.02,0
OB04446,A3,0.02,0
OB15887,C2,0.25,0
OB08691,B1,0.035,0
OB11013,B2,0.06,0
OB04745,A3,0.02,0
OB09850,B1,0.035,0
OB02574,A2,0.01,0
OB05292,A3,0.02,0
OB14219,B3,0.1,0
OB04905,A3,0.02,0
OB09830,B1,0.035,0
OB05037,A3,0.02,0
OB14295,B3,0.1,0
OB08901,B1,0.035,0
OB16152,C3,0.38,1
OB05951,A3,0.02,0
OB06158,A3,0.02,0
OB02713,A2,0.01,0
OB07491,B1,0.035,0
OB08778,B1,0.035,0
OB06410,A3,0.02,0
OB08432,B1,0.035,0
OB14716,C1,0.16,0
OB11636,B2,0.06,0
OB04696,A3,0.02,0
OB09098,B1,0.035,0
OB13753,B3,0.1,0
OB04626,A3,0.02,0
OB10304,B1,0.035,0
OB14257,B3,0.1,0
OB07267,B1,0.035,0
OB06596,A3,0.02,0
OB14161,B3,0.1,0
OB12556,B2,0.06,0
OB03015,A2,0.01,0
OB04929,A3,0.02,0
OB13810,B3,0.1,0
OB07664,B1,0.035,0
OB08724,B1,0.035,0
OB13291,B3,0.1,0
OB12390,B2,0.06,1
OB00322,A1,0.005,0
OB06730,A3,0.02,0
OB15069,C1,0.16,0
OB11121,B2,0.06,0
OB14596,C1,0.16,0
OB09694,B1,0.035,1
OB01566,A1,0.005,0
OB07151,A3,0.02,0
OB06442,A3,0.02,0
OB08715,B1,0.035,0
OB04950,A3,0.02,0
OB03746,A2,0.01,0
OB10793,B2,0.06,0
OB15946,C3,0.38,1
OB11974,B2,0.06,0
OB08420,B1,0.035,0
OB15855,C2,0.25,0
OB01248,A1,0.005,0
OB07537,B1,0.035,0
OB01732,A1,0.005,0
OB13509,B3,0.1,0
OB07874,B1,0.035,0
OB02870,A2,0.01,0
OB07667,B1,0.035,0
OB05346,A3,0.02,0
OB11862,B2,0.06,0
OB09876,B1,0.035,0
OB13617,B3,0.1,0
OB08147,B1,0.035,0
OB10738,B2,0.06,0
OB07548,B1,0.035,0
OB04089,A2,0.01,0
OB12634,B2,0.06,0
OB09663,B1,0.035,0
OB08055,B1,0.035,0
OB13770,B3,0.1,0
OB11057,B2,0.06,0
OB02940,A2,0.01,0
OB13931,B3,0.1,0
OB06961,A3,0.02,0
OB03014,A2,0.01,0
OB05540,A3,0.02,0
OB12222,B2,0.06,0
OB04234,A3,0.02,0
OB01916,A2,0.01,0
OB08004,B1,0.035,0
OB05044,A3,0.02,0
OB13539,B3,0.1,0
OB12077,B2,0.06,0
OB16197,C3,0.38,0
OB15985,C3,0.38,0
OB12629,B2,0.06,0
OB15613,C2,0.25,0
OB04270,A3,0.02,0
OB15594,C2,0.25,0
OB15409,C2,0.25,0
OB11643,B2,0.06,0
OB00007,A1,0.005,0
OB13941,B3,0.1,0
OB14971,C1,0.16,0
OB01874,A2,0.01,0
OB12865,B2,0.06,0
OB01179,A1,0.005,0
OB08523,B1,0.035,0
OB09998,B1,0.035,0
OB06509,A3,0.02,0
OB01685,A1,0.005,0
OB08365,B1,0.035,0
OB11147,B2,0.06,0
OB08002,B1,0.035,0
OB08911,B1,0.035,0
OB09570,B1,0.035,0
OB12974,B2,0.06,0
OB08088,B1,0.035,0
OB03904,A2,0.01,0
OB11654,B2,0.06,1
OB02142,A2,0.01,0
OB05683,A3,0.02,0
OB08135,B1,0.035,0
OB02991,A2,0.01,0
OB02321,A2,0.01,0
OB07585,B1,0.035,0
OB12234,B2,0.06,0
OB04361,A3,0.02,0
OB14133,B3,0.1,1
OB04105,A2,0.01,0
OB03738,A2,0.01,0
OB06601,A3,0.02,0
OB07888,B1,0.035,0
OB15629,C2,0.25,0
OB09016,B1,0.035,0
OB05263,A3,0.02,0
OB15906,C3,0.38,0
OB05761,A3,0.02,0
OB13081,B3,0.1,1
OB08755,B1,0.035,0
OB02022,A2,0.01,0
OB03675,A2,0.01,0
OB03617,A2,0.01,0
OB14092,B3,0.1,0
OB00994,A1,0.005,0
OB15355,C1,0.16,0
OB07698,B1,0.035,0
OB05168,A3,0.02,0
OB10513,B2,0.06,0
OB08371,B1,0.035,0
OB11631,B2,0.06,0
OB06123,A3,0.02,0
OB03078,A2,0.01,0
OB05658,A3,0.02,0
OB10564,B2,0.06,0
OB11528,B2,0.06,0
OB01677,A1,0.005,0
OB16116,C3,0.38,0
OB09419,B1,0.035,0
OB08952,B1,0.035,0
OB06874,A3,0.02,0
OB07952,B1,0.035,0
OB08076,B1,0.035,0
OB12208,B2,0.06,0
OB14385,B3,0.1,0
OB12197,B2,0.06,0
OB07935,B1,0.035,0
OB08838,B1,0.035,0
OB06004,A3,0.02,0
OB04212,A3,0.02,0
OB00942,A1,0.005,0
OB10362,B1,0.035,0
OB00626,A1,0.005,0
OB00805,A1,0.005,0
OB02742,A2,0.01,0
OB03676,A2,0.01,0
OB12449,B2,0.06,0
OB07443,B1,0.035,0
OB06364,A3,0.02,0
OB07218,B1,0.035,0
OB05737,A3,0.02,0
OB04587,A3,0.02,0
OB12772,B2,0.06,0
OB10092,B1,0.035,0
OB09486,B1,0.035,0
OB11579,B2,0.06,0
OB04254,A3,0.02,0
OB02678,A2,0.01,0
OB00064,A1,0.005,0
OB09588,B1,0.035,0
OB13177,B3,0.1,0
OB14562,C1,0.16,0
OB14306,B3,0.1,1
OB00083,A1,0.005,0
OB11283,B2,0.06,0
OB04397,A3,0.02,0
OB04171,A2,0.01,0
OB09457,B1,0.035,0
OB08455,B1,0.035,0
OB04178,A2,0.01,0
OB06451,A3,0.02,0
OB13546,B3,0.1,0
OB06693,A3,0.02,0
OB05376,A3,0.02,0
OB12887,B2,0.06,0
OB07171,A3,0.02,0
OB08162,B1,0.035,0
OB03262,A2,0.01,0
OB11724,B2,0.06,0
OB11065,B2,0.06,0
OB02820,A2,0.01,0
OB01243,A1,0.005,0
OB06360,A3,0.02,0
OB00033,A1,0.005,0
OB04259,A3,0.02,0
OB04882,A3,0.02,0
OB03786,A2,0.01,0
OB15711,C2,0.25,0
OB11230,B2,0.06,0
OB13043,B3,0.1,0
OB02858,A2,0.01,0
OB08514,B1,0.035,0
OB09426,B1,0.035,0
OB16194,C3,0.38,0
OB06740,A3,0.02,0
OB03930,A2,0.01,0
OB04432,A3,0.02,0
OB12467,B2,0.06,0
OB09615,B1,0.035,0
OB02263,A2,0.01,0
OB05290,A3,0.02,0
OB00552,A1,0.005,0
OB14604,C1,0.16,1
OB13579,B3,0.1,0
OB12350,B2,0.06,0
OB00888,A1,0.005,0
OB01425,A1,0.005,0
OB11451,B2,0.06,0
OB15611,C2,0.25,0
OB13144,B3,0.1,0
OB13080,B3,0.1,0
OB00919,A1,0.005,0
OB10201,B1,0.035,0
OB11818,B2,0.06,0
OB05040,A3,0.02,0
OB01650,A1,0.005,0
OB02373,A2,0.01,0
OB01378,A1,0.005,0
OB06594,A3,0.02,0
OB06225,A3,0.02,0
OB01283,A1,0.005,0
OB11192,B2,0.06,0
OB07041,A3,0.02,0
OB11400,B2,0.06,0
OB05342,A3,0.02,0
OB08682,B1,0.035,0
OB06027,A3,0.02,0
OB06732,A3,0.02,0
OB14868,C1,0.16,0
OB00116,A1,0.005,0
OB10638,B2,0.06,0
OB11992,B2,0.06,0
OB12970,B2,0.06,0
OB15065,C1,0.16,0
OB09828,B1,0.035,0
OB13829,B3,0.1,0
OB05847,A3,0.02,0
OB12529,B2,0.06,0
OB08621,B1,0.035,0
OB03462,A2,0.01,0
OB12020,B2,0.06,0
OB03398,A2,0.01,0
OB01928,A2,0.01,0
OB04910,A3,0.02,0
OB04909,A3,0.02,0
OB07625,B1,0.035,0
OB02299,A2,0.01,0
OB02976,A2,0.01,0
OB11584,B2,0.06,0
OB12680,B2,0.06,0
OB02529,A2,0.01,0
OB13841,B3,0.1,0
OB12935,B2,0.06,0
OB04041,A2,0.01,0
OB06969,A3,0.02,0
OB16148,C3,0.38,0
OB08909,B1,0.035,0
OB09245,B1,0.035,0
OB11607,B2,0.06,0
OB06142,A3,0.02,1
OB07466,B1,0.035,0
OB01885,A2,0.01,0
OB08725,B1,0.035,0
OB13139,B3,0.1,0
OB15910,C3,0.38,0
OB08413,B1,0.035,0
OB13785,B3,0.1,0
OB11962,B2,0.06,0
OB02795,A2,0.01,0
OB03249,A2,0.01,0
OB10834,B2,0.06,0
OB01071,A1,0.005,0
OB09307,B1,0.035,0
OB02651,A2,0.01,0
OB13417,B3,0.1,0
OB05412,A3,0.02,0
OB15343,C1,0.16,0
OB14658,C1,0.16,0
OB00346,A1,0.005,0
OB07958,B1,0.035,1
OB05544,A3,0.02,0
OB08744,B1,0.035,0
OB08421,B1,0.035,0
OB04971,A3,0.02,0
OB02423,A2,0.01,0
OB09524,B1,0.035,0
OB02368,A2,0.01,0
OB01301,A1,0.005,0
OB12415,B2,0.06,0
OB12932,B2,0.06,0
OB13017,B3,0.1,0
OB00841,A1,0.005,0
OB10257,B1,0.035,0
OB14595,C1,0.16,0
OB02918,A2,0.01,0
OB13895,B3,0.1,0
OB13117,B3,0.1,0
OB08373,B1,0.035,0
OB03672,A2,0.01,0
OB00711,A1,0.005,0
OB01361,A1,0.005,0
OB12599,B2,0.06,0
OB12526,B2,0.06,0
OB15615,C2,0.25,0
OB09306,B1,0.035,0
OB07354,B1,0.035,0
OB00655,A1,0.005,0
OB04317,A3,0.02,0
OB04500,A3,0.02,0
OB04511,A3,0.02,1
OB00688,A1,0.005,0
OB12691,B2,0.06,0
OB15536,C2,0.25,0
OB00960,A1,0.005,0
OB07009,A3,0.02,0
OB01893,A2,0.01,0
OB13894,B3,0.1,0
OB01095,A1,0.005,0
OB03705,A2,0.01,0
OB14005,B3,0.1,0
OB03400,A2,0.01,0
OB02642,A2,0.01,0
OB04480,A3,0.02,0
OB08528,B1,0.035,1
OB02073,A2,0.01,0
OB02579,A2,0.01,0
OB15896,C2,0.25,0
OB11148,B2,0.06,0
OB03159,A2,0.01,0
OB09974,B1,0.035,0
OB02578,A2,0.01,0
OB11384,B2,0.06,0
OB07609,B1,0.035,0
OB15849,C2,0.25,0
OB00408,A1,0.005,0
OB02723,A2,0.01,0
OB07324,B1,0.035,1
OB06724,A3,0.02,0
OB10771,B2,0.06,0
OB06827,A3,0.02,0
OB11335,B2,0.06,0
OB01410,A1,0.005,0
OB06258,A3,0.02,0
OB12598,B2,0.06,0
OB04646,A3,0.02,0
OB14806,C1,0.16,0
OB12227,B2,0.06,0
OB04786,A3,0.02,0
OB02988,A2,0.01,0
OB08629,B1,0.035,0
OB05052,A3,0.02,0
OB04951,A3,0.02,0
OB16103,C3,0.38,0
OB14006,B3,0.1,0
OB15890,C2,0.25,0
OB14291,B3,0.1,0
OB13207,B3,0.1,0
OB08292,B1,0.035,0
OB11276,B2,0.06,0
OB07135,A3,0.02,1
OB10552,B2,0.06,0
OB14992,C1,0.16,0
OB04720,A3,0.02,0
OB04583,A3,0.02,0
OB14752,C1,0.16,0
OB02224,A2,0.01,0
OB13315,B3,0.1,0
OB05351,A3,0.02,0
OB06836,A3,0.02,0
OB03579,A2,0.01,0
OB01415,A1,0.005,0
OB04142,A2,0.01,0
OB03394,A2,0.01,0
OB03613,A2,0.01,0
OB12912,B2,0.06,0
OB03696,A2,0.01,0
OB08214,B1,0.035,0
OB07830,B1,0.035,0
OB03527,A2,0.01,0
OB07899,B1,0.035,0
OB08492,B1,0.035,0
OB14127,B3,0.1,0
OB04196,A2,0.01,0
OB06475,A3,0.02,0
OB05091,A3,0.02,0
OB08348,B1,0.035,0
OB07942,B1,0.035,0
OB03106,A2,0.01,0
OB12285,B2,0.06,0
OB11955,B2,0.06,0
OB11502,B2,0.06,0
OB03204,A2,0.01,0
OB14367,B3,0.1,0
OB10065,B1,0.035,0
OB09071,B1,0.035,0
OB11836,B2,0.06,0
OB03146,A2,0.01,0
OB04114,A2,0.01,0
OB00073,A1,0.005,0
OB08006,B1,0.035,0
OB04491,A3,0.02,0
OB02062,A2,0.01,0
OB06845,A3,0.02,0
OB08249,B1,0.035,0
OB12877,B2,0.06,0
OB09168,B1,0.035,0
OB10651,B2,0.06,0
OB14444,B3,0.1,0
OB15189,C1,0.16,1
OB03593,A2,0.01,0
OB12267,B2,0.06,0
OB04072,A2,0.01,0
OB06609,A3,0.02,0
OB02124,A2,0.01,0
OB10916,B2,0.06,0
OB05338,A3,0.02,0
OB03098,A2,0.01,0
OB09407,B1,0.035,0
OB00154,A1,0.005,0
OB04131,A2,0.01,0
OB07444,B1,0.035,0
OB15223,C1,0.16,0
OB04580,A3,0.02,0
OB05961,A3,0.02,0
OB14394,B3,0.1,0
OB09074,B1,0.035,0
OB09985,B1,0.035,0
OB01434,A1,0.005,0
OB08066,B1,0.035,1
OB05582,A3,0.02,0
OB16050,C3,0.38,1
OB12069,B2,0.06,0
OB16044,C3,0.38,1
OB13756,B3,0.1,0
OB11487,B2,0.06,0
OB12372,B2,0.06,0
OB13589,B3,0.1,0
OB07384,B1,0.035,0
OB07294,B1,0.035,0
OB14483,B3,0.1,1
OB04914,A3,0.02,0
OB04167,A2,0.01,0
OB08312,B1,0.035,0
OB07594,B1,0.035,0
OB15396,C1,0.16,0
OB11689,B2,0.06,0
OB02997,A2,0.01,0
OB09540,B1,0.035,0
OB14687,C1,0.16,0
OB12074,B2,0.06,0
OB02183,A2,0.01,0
OB15804,C2,0.25,0
OB10926,B2,0.06,0
OB14332,B3,0.1,0
OB13362,B3,0.1,0
OB09230,B1,0.035,0
OB00596,A1,0.005,0
OB16023,C3,0.38,1
OB01962,A2,0.01,0
OB03324,A2,0.01,0
OB01786,A1,0.005,0
OB08275,B1,0.035,0
OB09373,B1,0.035,0
OB04733,A3,0.02,0
OB10674,B2,0.06,0
OB14803,C1,0.16,0
OB14820,C1,0.16,0
OB05125,A3,0.02,0
OB00136,A1,0.005,0
OB14693,C1,0.16,1
OB00503,A1,0.005,0
OB03428,A2,0.01,0
OB13347,B3,0.1,0
OB13563,B3,0.1,0
OB11119,B2,0.06,0
OB10278,B1,0.035,0
OB04906,A3,0.02,0
OB02276,A2,0.01,0
OB09680,B1,0.035,0
OB11805,B2,0.06,0
OB02337,A2,0.01,0
OB05067,A3,0.02,0
OB02999,A2,0.01,0
OB00883,A1,0.005,0
OB03640,A2,0.01,0
OB06149,A3,0.02,0
OB05001,A3,0.02,0
OB03918,A2,0.01,0
OB10084,B1,0.035,0
OB01605,A1,0.005,0
OB14021,B3,0.1,0
OB04731,A3,0.02,0
OB13295,B3,0.1,0
OB13153,B3,0.1,0
OB14212,B3,0.1,0
OB15856,C2,0.25,1
OB00109,A1,0.005,0
OB08098,B1,0.035,0
OB00221,A1,0.005,0
OB05368,A3,0.02,0
OB01525,A1,0.005,0
OB04288,A3,0.02,0
OB09707,B1,0.035,0
OB16099,C3,0.38,0
OB06395,A3,0.02,0
OB10650,B2,0.06,0
OB12675,B2,0.06,0
OB06655,A3,0.02,0
OB08281,B1,0.035,0
OB00725,A1,0.005,0
OB09291,B1,0.035,0
OB11358,B2,0.06,1
OB13852,B3,0.1,0
OB08321,B1,0.035,0
OB05819,A3,0.02,0
OB01733,A1,0.005,0
OB01476,A1,0.005,0
OB08750,B1,0.035,0
OB01160,A1,0.005,0
OB09469,B1,0.035,0
OB04961,A3,0.02,0
OB08945,B1,0.035,0
OB02667,A2,0.01,0
OB01161,A1,0.005,0
OB00784,A1,0.005,0
OB09092,B1,0.035,0
OB05485,A3,0.02,0
OB15771,C2,0.25,0
OB07986,B1,0.035,0
OB11412,B2,0.06,0
OB01538,A1,0.005,0
OB03314,A2,0.01,0
OB12179,B2,0.06,1
OB10630,B2,0.06,0
OB00814,A1,0.005,0
OB12371,B2,0.06,0
OB03909,A2,0.01,0
OB15870,C2,0.25,1
OB07981,B1,0.035,0
OB07137,A3,0.02,0
OB14281,B3,0.1,0
OB08765,B1,0.035,0
OB08761,B1,0.035,0
OB06828,A3,0.02,0
OB14289,B3,0.1,0
OB02607,A2,0.01,0
OB02559,A2,0.01,0
OB07492,B1,0.035,0
OB06520,A3,0.02,0
OB08454,B1,0.035,0
OB01464,A1,0.005,0
OB02769,A2,0.01,0
OB05697,A3,0.02,0
OB02909,A2,0.01,0
OB03362,A2,0.01,0
OB00614,A1,0.005,0
OB04390,A3,0.02,0
OB13277,B3,0.1,0
OB00006,A1,0.005,0
OB09607,B1,0.035,0
OB09868,B1,0.035,0
OB08563,B1,0.035,0
OB08359,B1,0.035,0
OB05832,A3,0.02,0
OB10604,B2,0.06,0
OB08428,B1,0.035,0
OB14096,B3,0.1,0
OB16025,C3,0.38,0
OB16136,C3,0.38,0
OB13503,B3,0.1,0
OB06295,A3,0.02,0
OB11714,B2,0.06,0
OB15681,C2,0.25,0
OB14393,B3,0.1,1
OB12214,B2,0.06,0
OB08949,B1,0.035,0
OB15958,C3,0.38,1
OB10394,B1,0.035,0
OB01226,A1,0.005,0
OB11696,B2,0.06,0
OB13214,B3,0.1,0
OB14914,C1,0.16,0
OB11723,B2,0.06,0
OB03692,A2,0.01,0
OB10920,B2,0.06,0
OB15263,C1,0.16,0
OB16184,C3,0.38,0
OB11716,B2,0.06,0
OB00575,A1,0.005,0
OB09120,B1,0.035,0
OB03161,A2,0.01,0
OB00483,A1,0.005,0
OB02210,A2,0.01,0
OB15848,C2,0.25,1
OB07272,B1,0.035,0
OB02379,A2,0.01,0
OB11017,B2,0.06,0
OB09122,B1,0.035,0
OB00859,A1,0.005,0
OB03033,A2,0.01,0
OB11559,B2,0.06,0
OB09757,B1,0.035,0
OB14842,C1,0.16,0
OB03569,A2,0.01,0
OB00108,A1,0.005,0
OB04468,A3,0.02,0
OB06409,A3,0.02,0
OB02703,A2,0.01,0
OB06669,A3,0.02,0
OB04149,A2,0.01,0
OB08522,B1,0.035,0
OB02248,A2,0.01,0
OB10185,B1,0.035,0
OB04246,A3,0.02,0
OB00036,A1,0.005,0
OB04112,A2,0.01,0
OB09711,B1,0.035,0
OB02386,A2,0.01,0
OB02594,A2,0.01,0
OB02443,A2,0.01,0
OB03406,A2,0.01,0
OB13210,B3,0.1,0
OB14362,B3,0.1,0
OB04661,A3,0.02,0
OB08837,B1,0.035,0
OB00407,A1,0.005,0
OB05221,A3,0.02,0
OB03921,A2,0.01,0
OB14472,B3,0.1,0
OB09537,B1,0.035,0
OB02274,A2,0.01,0
OB13825,B3,0.1,0
OB00210,A1,0.005,0
OB00373,A1,0.005,0
OB04860,A3,0.02,0
OB05671,A3,0.02,0
OB10135,B1,0.035,0
OB14602,C1,0.16,0
OB04176,A2,0.01,0
OB02435,A2,0.01,0
OB10833,B2,0.06,0
OB11086,B2,0.06,0
OB12005,B2,0.06,0
OB12230,B2,0.06,0
OB01957,A2,0.01,0
OB04576,A3,0.02,0
OB00777,A1,0.005,0
OB12493,B2,0.06,0
OB16085,C3,0.38,1
OB03544,A2,0.01,0
OB14355,B3,0.1,1
OB15610,C2,0.25,1
OB13284,B3,0.1,0
OB03377,A2,0.01,0
OB14816,C1,0.16,0
OB07235,B1,0.035,0
OB09920,B1,0.035,0
OB12894,B2,0.06,0
OB00736,A1,0.005,0
OB09406,B1,0.035,0
OB13667,B3,0.1,0
OB08922,B1,0.035,0
OB14061,B3,0.1,1
OB08150,B1,0.035,0
OB09569,B1,0.035,0
OB12611,B2,0.06,0
OB13559,B3,0.1,0
OB06566,A3,0.02,0
OB14699,C1,0.16,0
OB12103,B2,0.06,0
OB12633,B2,0.06,0
OB09218,B1,0.035,0
OB09928,B1,0.035,0
OB05038,A3,0.02,0
OB00314,A1,0.005,0
OB00637,A1,0.005,0
OB03473,A2,0.01,0
OB09029,B1,0.035,0
OB12095,B2,0.06,0
OB07406,B1,0.035,0
OB01811,A2,0.01,0
OB04902,A3,0.02,0
OB13496,B3,0.1,0
OB00317,A1,0.005,0
OB13927,B3,0.1,0
OB01897,A2,0.01,0
OB03058,A2,0.01,0
OB15033,C1,0.16,1
OB06975,A3,0.02,0
OB00821,A1,0.005,0
OB12854,B2,0.06,0
OB06259,A3,0.02,0
OB06797,A3,0.02,0
